clues,clues_nombre,jurisdiccion,caravana_region,municipio,localidad,tipologia,empresa_clave,tipo_clues,empresa_nombre,director_unidad,administrador,encargado_almacen,coordinador_comision_abasto,lugar_entrega,lista_base_id,created_at,updated_at
CSSSA002652,UNIDAD MÉDICA MÓVIL ESTRELLA ROJA,7,NULL,HUIXTLA,ESTRELLA ROJA,"UNIDAD MÓVIL
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002664,JOSÉ MARÍA MORELOS Y PAVÓN,7,NULL,HUIXTLA,JOSÉ MARÍA MORELOS Y PAVÓN,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002676,CANTÓN PLAYA GRANDE,7,NULL,HUIXTLA,CANTÓN PLAYA GRANDE,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002681,TZINACAL BUENOS AIRES,7,NULL,HUIXTLA,TZINACAL (BUENOS AIRES),"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002693,LA UNIÓN,7,NULL,HUIXTLA,LA UNIÓN,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002705,AZTLÁN,7,NULL,HUIXTLA,AZTLÁN,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002710,LA INDEPENDENCIA,3,NULL,LA INDEPENDENCIA,LA INDEPENDENCIA,"URBANO DE 02 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002722,ROSARIO BADENIA,3,NULL,LA INDEPENDENCIA,BADENIA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002734,EMILIANO ZAPATA,3,NULL,LA INDEPENDENCIA,EMILIANO ZAPATA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002746,FRANCISCO SARABIA,3,NULL,LA INDEPENDENCIA,FRANCISCO SARABIA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002763,LA PATRIA,3,NULL,LA INDEPENDENCIA,LA PATRIA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002775,TIERRA BLANCA,3,NULL,LA INDEPENDENCIA,TIERRA BLANCA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002780,IXHUATÁN,5,NULL,IXHUATÁN,IXHUATÁN,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002792,SAN MIGUEL,5,NULL,IXHUATÁN,SAN MIGUEL,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002816,IXTACOMITÁN,5,NULL,IXTACOMITÁN,IXTACOMITÁN,"RURAL DE 02 NÚCLEOS BÁSICOS
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002821,ARENAL,5,NULL,IXTACOMITÁN,EL ARENAL,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002833,EMILIANO ZAPATA,5,NULL,IXTACOMITÁN,EMILIANO ZAPATA,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002845,MATAMOROS 1A. SECCIÓN,5,NULL,IXTACOMITÁN,MATAMOROS 1RA. SECCIÓN,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002850,NUEVO LINDAVISTA,5,NULL,IXTACOMITÁN,NUEVO LINDAVISTA,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002862,IXTAPA,1,NULL,IXTAPA,IXTAPA,"RURAL DE 02 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002874,CARLOS A. VIDAL,1,NULL,IXTAPA,CARLOS A. VIDAL,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002886,CONCEPCIÓN,1,NULL,IXTAPA,CONCEPCIÓN,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002891,EJIDO NUEVO SAN MIGUEL MITONTIC,1,NULL,IXTAPA,NUEVO SAN MIGUEL MITONTIC (PUNTA DE PIEDAD),"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002903,MAZANILHO,1,NULL,IXTAPA,MAZANILHO,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002920,JANA 2A. SECCIÓN,5,NULL,IXTAPANGAJOYA,JANA 2DA. SECCIÓN,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002932,JIQUIPILAS,1,NULL,JIQUIPILAS,JIQUIPILAS,"RURAL DE 02 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002956,JOSÉ MARÍA PINO SUÁREZ,1,NULL,JIQUIPILAS,JOSÉ MARÍA PINO SUÁREZ,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002961,MICHOACÁN,1,NULL,JIQUIPILAS,MICHOACÁN,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002973,CENTRO DE SALUD NUEVA PALESTINA,1,NULL,JIQUIPILAS,NUEVA PALESTINA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002985,ANDRÉS QUINTANA ROO,1,NULL,JIQUIPILAS,QUINTANA ROO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA002990,TILTEPEC,1,NULL,JIQUIPILAS,TILTEPEC,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003002,HIERBA SANTA,1,NULL,JIQUIPILAS,HIERBA SANTA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003026,BENITO JUÁREZ,1,NULL,JIQUIPILAS,BENITO JUÁREZ,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003031,SANTA ROSA,1,NULL,JIQUIPILAS,SANTA ROSA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003043,MARAVILLAS,5,NULL,JITOTOL,LAS MARAVILLAS,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003055,PAREDÓN,5,NULL,JITOTOL,PLAN PAREDÓN,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003060,RUBÉN JARAMILLO,5,NULL,JITOTOL,RUBÉN JARAMILLO,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003084,JUÁREZ,5,NULL,JUÁREZ,JUÁREZ,"RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003096,EJIDO IGNACIO ALLENDE,5,NULL,JUÁREZ,ALLENDE 1RA. SECCIÓN,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003101,5 DE MAYO,5,NULL,JUÁREZ,CINCO DE MAYO,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003113,SAN ANDRÉS LARRAINZAR,2,NULL,LARRÁINZAR,LARRÁINZAR,"RURAL DE 02 NÚCLEOS BÁSICOS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003125,BAYALEMHO DOS,2,NULL,LARRÁINZAR,BAYALEMO DOS,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003130,STENLEJSOSTETIC,2,NULL,LARRÁINZAR,STENLEJSOTZTETIC,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003171,LA LIBERTAD,6,NULL,LA LIBERTAD,LA LIBERTAD,"RURAL DE 02 NÚCLEOS BÁSICOS
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003183,BENITO JUÁREZ,6,NULL,LA LIBERTAD,BENITO JUÁREZ CENTRO,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003195,ALDAMA,6,NULL,LA LIBERTAD,ALDAMA CENTRO,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003200,MAPASTEPEC,7,NULL,MAPASTEPEC,MAPASTEPEC,"RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003212,ADOLFO RUIZ CORTINES,7,NULL,MAPASTEPEC,ADOLFO RUIZ CORTÍNEZ,"UNIDAD MÓVIL
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003224,LA PLAYA,7,NULL,MAPASTEPEC,LA PLAYA,"UNIDAD MÓVIL
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003236,ABRAHAM GONZÁLEZ,7,NULL,MAPASTEPEC,ABRAHAM GONZÁLEZ,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003241,BARRITA DE PAJÓN,7,NULL,MAPASTEPEC,BARRITA DE PAJÓN,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003253,EJIDO IBARRA,7,NULL,MAPASTEPEC,IBARRA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003270,AMPARO AGUA TINTA,3,NULL,LAS MARGARITAS,AMPARO AGUA TINTA,"CENTRO DE SALUD CON HOSPITALIZACIÓN
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003294,GABRIEL LEYVA VELÁZQUEZ,3,NULL,LAS MARGARITAS,GABRIEL LEYVA VELÁZQUEZ,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003306,IGNACIO ZARAGOZA,3,NULL,LAS MARGARITAS,IGNACIO ZARAGOZA,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003311,JALISCO,3,NULL,LAS MARGARITAS,JALISCO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003323,JUSTO SIERRA,3,NULL,LAS MARGARITAS,JUSTO SIERRA (SAN FRANCISCO),"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003381,SAN CARLOS DEL RÍO,3,NULL,LAS MARGARITAS,SAN CARLOS DEL RÍO,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003393,SAN ISIDRO,3,NULL,LAS MARGARITAS,SAN ISIDRO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003405,SANTA MARTHA,3,NULL,LA INDEPENDENCIA,SANTA MARTHA,"UNIDAD MÓVIL
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003410,SAN JOSÉ LAS PALMAS,3,NULL,LAS MARGARITAS,SAN JOSÉ LAS PALMAS,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003422,SAN PEDRO YUTNIOTIC,3,NULL,LAS MARGARITAS,SAN PEDRO YUTNIOTIC,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003451,SANTA RITA SONORA,3,NULL,LAS MARGARITAS,SANTA RITA SONORA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003475,SAN ANTONIO BAWITZ,3,NULL,LAS MARGARITAS,SAN ANTONIO BAWITZ,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003480,LA ESMERALDA,3,NULL,LAS MARGARITAS,LA ESMERALDA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003492,JERUSALEM,3,NULL,LAS MARGARITAS,JERUSALÉN,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003504,LUCHA CAMPESINA,3,NULL,LAS MARGARITAS,LUCHA CAMPESINA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003516,ESPÍRITU SANTO,3,NULL,LAS MARGARITAS,ESPÍRITU SANTO,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003533,EL ENCANTO,3,NULL,LAS MARGARITAS,EL ENCANTO,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003545,PROGRESO,3,NULL,LAS MARGARITAS,EL PROGRESO,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003550,LAS PERLAS,3,NULL,LAS MARGARITAS,LAS PERLAS,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003574,SAN JOSÉ LA REVANCHA,3,NULL,LAS MARGARITAS,SAN JOSÉ LA REVANCHA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003586,GUADALUPE LAS FLORES,3,NULL,LAS MARGARITAS,GUADALUPE (LAS FLORES),"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003591,UNIÓN VICTORIA,3,NULL,LAS MARGARITAS,UNIÓN VICTORIA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003603,MAZAPA DE MADERO,10,NULL,MAZAPA DE MADERO,MAZAPA DE MADERO,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003615,GRANADOS TALCANAQUE,10,NULL,MAZAPA DE MADERO,GRANADOS TALCANAQUE,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003620,LIBERTAD FRONTERA,10,NULL,MAZAPA DE MADERO,LIBERTAD FRONTERA,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003644,CANTÓN CORRALITO,7,NULL,MAZATÁN,EL CORRALITO,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003656,MARTE R. GÓMEZ,7,NULL,MAZATÁN,MARTE R. GÓMEZ,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003661,SANTA CLARA,7,NULL,MAZATÁN,SANTA CLARA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003673,LA VICTORIA,7,NULL,MAZATÁN,LA VICTORIA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003685,ADOLFO RUÍZ CORTINES,7,NULL,MAZATÁN,ADOLFO RUIZ CORTINES,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003690,LÁZARO CÁRDENAS,7,NULL,MAZATÁN,LÁZARO CÁRDENAS (LOS CUATES),"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003702,MITONTIC,2,NULL,MITONTIC,MITONTIC,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003714,CHALAM,2,NULL,MITONTIC,CHALAM,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003726,MOTOZINTLA DE MENDOZA,10,NULL,MOTOZINTLA,MOTOZINTLA DE MENDOZA,"URBANO DE 04 NÚCLEOS BÁSICOS
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003731,CABAÑAS,10,NULL,MOTOZINTLA,LAS CABAÑAS,"UNIDAD MÓVIL
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003743,FRANCISCO I. MADERO,10,NULL,MOTOZINTLA,FRANCISCO I. MADERO,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003755,SANTA ANA PINABETO,10,NULL,MOTOZINTLA,SANTA ANA PINABETO,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003760,RINCÓN DEL BOSQUE,10,NULL,MOTOZINTLA,RINCÓN DEL BOSQUE,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
CSSSA003772,VICENTE GUERRERO,10,NULL,MOTOZINTLA,VICENTE GUERRERO,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
